rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,price_sqrm,room_price,avg_room_size,quiet_neighboorhood,parcet,family_child_friendly,apt_id,url_immoscout
3.5,95.0,2400,2100,3073,Mattenstrasse 33,Gümligen,2022,True,False,True,True,False,False,False,False,True,25.26,685.71,27.14,True,False,False,2400_95.0_3.5_3073_Mattenstrasse33_Gümligen,https://www.immoscout24.ch/de/d/wohnung-mieten-guemligen/7105767
2.0,65.0,2185,1885,3011,Zeughausgasse 27 Wohnungen,Bern,1927,False,False,True,False,False,False,False,True,False,33.62,1092.5,32.5,False,True,False,2185_65.0_2.0_3011_Zeughausgasse27Wohnungen_Bern,https://www.immoscout24.ch/de/d/dachwohnung-mieten-bern/6959490
4.5,93.0,1740,1500,3250,Flurweg 9A,Lyss,2019,True,False,False,False,False,False,False,False,False,18.71,386.67,20.67,False,True,True,1740_93.0_4.5_3250_Flurweg9A_Lyss,https://www.immoscout24.ch/de/d/wohnung-mieten-lyss/7082923
3.5,101.0,1850,1450,3007,Chutzenstrasse 58,Bern,2015,True,True,False,False,False,False,False,False,False,18.32,528.57,28.86,True,True,False,1850_101.0_3.5_3007_Chutzenstrasse58_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7093842
4.5,109.0,1900,1670,3400,Bernstrasse 145,Burgdorf,2011,True,True,True,False,False,False,False,False,False,17.43,422.22,24.22,False,True,False,1900_109.0_4.5_3400_Bernstrasse145_Burgdorf,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7093841
3.5,74.0,1600,1310,3322,Dorniackerstrasse 23,Urtenen-Schönbühl,2012,True,True,False,False,False,False,False,False,False,21.62,457.14,21.14,True,True,False,1600_74.0_3.5_3322_Dorniackerstrasse23_Urtenen-Schönbühl,https://www.immoscout24.ch/de/d/wohnung-mieten-urtenen-schoenbuehl/6401404
2.5,43.0,1350,1190,2503,Waldrainstrasse 22,Biel/Bienne,2011,True,False,False,False,False,False,False,True,True,31.4,540.0,17.2,True,True,False,1350_43.0_2.5_2503_Waldrainstrasse22_Biel/Bienne,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7078557
3.0,55.0,970,800,3413,Hub 418,Kaltacker,2015,True,False,False,False,False,False,False,False,True,17.64,323.33,18.33,False,False,False,970_55.0_3.0_3413_Hub418_Kaltacker,https://www.immoscout24.ch/de/d/wohnung-mieten-kaltacker/3175226
5.5,186.0,2700,2400,3205,Dorfstrasse 25,Gümmenen,2018,True,True,False,True,True,False,True,True,True,14.52,490.91,33.82,True,False,False,2700_186.0_5.5_3205_Dorfstrasse25_Gümmenen,https://www.immoscout24.ch/de/d/wohnung-mieten-guemmenen/7107536
3.5,114.0,2125,1840,2503,Waldrainstrasse 8,Biel/Bienne,2014,False,True,True,False,True,False,True,True,False,18.64,607.14,32.57,False,True,False,2125_114.0_3.5_2503_Waldrainstrasse8_Biel/Bienne,https://www.immoscout24.ch/de/d/attikawohnung-mieten-biel-bienne/7108659
4.5,110.0,2530,2200,3110,Ahornweg 11A,Münsingen,2013,True,False,True,False,False,True,False,True,True,23.0,562.22,24.44,False,True,False,2530_110.0_4.5_3110_Ahornweg11A_Münsingen,https://www.immoscout24.ch/de/d/attikawohnung-mieten-muensingen/7107566
5.5,133.0,1950,250,3714,Steinermatteweg 6,Frutigen,0,True,True,False,True,False,False,False,False,True,14.66,354.55,24.18,False,False,False,1950_133.0_5.5_3714_Steinermatteweg6_Frutigen,https://www.immoscout24.ch/de/d/wohnung-mieten-frutigen/7108631
3.0,65.0,980,863,3535,Riedstrasse 3,Schüpbach,0,True,False,False,True,False,False,False,True,True,15.08,326.67,21.67,False,False,False,980_65.0_3.0_3535_Riedstrasse3_Schüpbach,https://www.immoscout24.ch/de/d/wohnung-mieten-schuepbach/7108484
3.0,75.0,1300,1145,3150,Langenwilweg 84,Schwarzenburg,0,True,False,False,True,False,False,False,False,True,17.33,433.33,25.0,False,False,False,1300_75.0_3.0_3150_Langenwilweg84_Schwarzenburg,https://www.immoscout24.ch/de/d/wohnung-mieten-schwarzenburg/7108494
3.5,87.5,1290,1136,2560,Weyernweg 16,Nidau,2022,True,True,False,True,False,False,True,False,True,14.74,368.57,25.0,False,True,False,1290_87.5_3.5_2560_Weyernweg16_Nidau,https://www.immoscout24.ch/de/d/wohnung-mieten-nidau/7093508
3.0,80.0,1800,1600,3013,Dammweg 55,Bern,1948,True,False,False,False,False,False,False,False,True,22.5,600.0,26.67,False,True,False,1800_80.0_3.0_3013_Dammweg55_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/3214281
2.0,45.0,1710,1550,3011,Postgasse 44,Bern,2020,False,True,False,False,False,False,False,True,True,38.0,855.0,22.5,True,True,False,1710_45.0_2.0_3011_Postgasse44_Bern,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7018113
